Item	Current Price	Store	Quantity	Quantity in oz	Per oz or unit price
Karat C-KC24 24oz PET Plastic Cold Cups (Case of 600)	$60.86	Amazon	600 count	600	$0.10
Karat 12-20oz Black Hot Cup Lids (case of 1000)	$44.16	Amazon	1000 count	1000	$0.04
JOLLY CHEF Sipper Lids 98mm width, Fits for 12-20 Oz Lids (Case of 1000)	$50.99	Amazon	1000 count	1000	$0.05
Karat Earth 16-24oz PET Dome Lids (Case of 1000)	$63.00	Amazon	1000 count	1000	$0.06
FMP Brands - Kraft Coffee Cup Sleeves for 12-24 oz Cups (1000 Count)	$49.45	Amazon	1000 count	1000	$0.05
DuraHome 8in Plastic Wrapped Straws Black (1000 Count)	$19.09	Amazon	1000 count	1000	$0.02
StixToGo BLACK Circle Beverage Plug (400 Pieces)	$14.98	Amazon	400 count	400	$0.04
Tork White Beverage Napkins (500 count - 8 Pack)	$29.08	Amazon	4000 count	4000	$0.01
JA Kitchens Burger/Sandwich Wrapping Paper 12in (1000 Sheet)	$40.97	Amazon	1000 sheet	1000	$0.04
QLSmypkg Large Muffin Greaseproof Baking Cup Natural (125 piece)	$14.99	Amazon	125 piece	125	$0.12
"
Bagcraft Ecocraft Grease-Resistant Sandwich Bags, 6.5"" X 8"", Natural, (2,000 count)"	$69.70	Amazon	2000 count	2000	$0.03
Karat 12lb Kraft Brown Paper Bag (1000 count)	$49.00	Amazon	1000 count	1000	$0.05
Karat 2oz Clear Portion Cup (2500 count)	$30.35	Amazon	2500 count	2500	$0.01
Karat 2oz Clear Portion Lid (2500 count)	$31.68	Amazon	2500 count	2500	$0.01
Choice Paper Hot Food Cup 12oz with Lid (250 count)	$39.49	Webstarant 	250 count	250	$0.16
Choice Paper Hot Food Cup 8oz with Lid (250 count)	$36.99	Webstarant 	250 count	250	$0.15
Daxwell 8x8x3" Hinged Plastic Take Out Container (Case of 200)	$59.78	Amazon	200 count	200	$0.30
Comfy Bamboo Wooden Toothpick (2000 count)	$6.43	Amazon	2000 count	2000	$0.00
Karat C5000 4 Cup Holder (Case of 300)	$43.26	Amazon	300	300	$0.14
Disposable Fork Medium Weight, Black (Pack of 1000)	$21.49	Amazon	1000 count	1000	$0.02
Disposable Soup Spoon Medium Weight, Black (Pack of 1000)	$21.49	Amazon	1000 count	1000	$0.02
Disposable Knife Medium Weight, Black (Pack of 1000)	$21.49	Amazon	1000 count	1000	$0.02
Next Day Flyers 2" Round Stickers (5,000 stickers)	$247.95	Vendor	5000 count	5000	$0.05
					
-------------------					
Cleaning + Other Supplies 					
SpringCare Nitrile Gloves Large (Pack of 1000)	$49.99	Amazon	1000	1000	$0.05
Heavy Duty Scrub Sponge (50 Count)	$14.24	Amazon	50 Count	50	$0.28
Reli Super Value 2-4 Gallon Small Trash Bags (2000 Count)	$49.99	Amazon	2000	2000	$0.02
Aluf Plastics 26 Gallon For Slim Jim 1.25 MIL (eq) Black Heavy Duty Trash Bags - 29 inch X 44 inch - 1 Count (Pack of 200)	$34.56	Amazon	250	250	$0.14
"
Reli. 40 to 45 Gallon Trash Bags Heavy Duty  (250 count)"	$52.49	Amazon	250	250	$0.21
Hill Country Fare Bleach 64 fl oz (Pack of 1) 	$1.28	HEB	1	64	$0.02
Simple Green All Purpose Concentate (1 gallon - 2 Pack)	$39.89	Amazon	256 oz	256	$0.16
Hydrion QT-40 Test Tape 15ft Roll 	$10.69	Amazon	1	1	$10.69
iMark Premium Black Stamp Ink Refill (4oz)	$11.71	Amazon	1	4	$2.93
Liquid Chalk Markers Multicolored (30 Pack)	$19.99	Amazon	30	30	$0.67
Liquid Chalk Markers White (Pack of 12)	$7.59	Amazon	12	12	$0.63
General Supply 2-Ply 9" Jumbo Toilet Paper (12 Rolls)	$35.85	Amazon	12 rolls	12	$2.99
