Recipe Name	Yield	Ingredient Category	Inventory Item Match	Quantity	Unit	Line Cost	Total Unit Cost	Menu Price	COGS %																		
Small Lavender Latte (16oz)		Packaging	Karat C-KC16 16oz PET Plastic Cold Cups	1	unit	0.1																					
Small Lavender Latte (16oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.05																					
Small Lavender Latte (16oz)		Packaging	DuraHome 8in Plastic Wrapped Straws Black	1	unit	0.02																					
Small Lavender Latte (16oz)		Packaging	Next Day Flyers 2" Round Stickers	1	unit	0.05																					
																											
Nitro Cold Brew (24oz)	1 Drink	Ingredient	House Beans (Cold Brew)	0.75	oz	1.13	1.32	6.75	0.1955555556																		
Nitro Cold Brew (24oz)		Ingredient	Nitrogen Gas Cyclinder Tank	2	g	0.01																					
Nitro Cold Brew (24oz)		Packaging	Karat C-KC24 24oz PET Plastic Cold Cups	1	unit	0.1																					
Nitro Cold Brew (24oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.05																					
Nitro Cold Brew (24oz)		Packaging	DuraHome 8in Plastic Wrapped Straws Black	1	unit	0.02																					
Nitro Cold Brew (24oz)		Packaging	Next Day Flyers 2" Round Stickers	1	unit	0.05																					
																											
Frappe (16oz)	1 Drink	Ingredient	House Beans (Cold Brew)	8	oz	0.5	1.23	7	0.1757142857																		
Frappe (16oz)		Ingredient	HCF Whole Milk	8	oz	0.25																					
Frappe (16oz)		Ingredient	Da Vinci Classic Caramel Syrup	2	tbsp	0.29																					
Frappe (16oz)		Ingredient	HEB Real Original Dairy Whip Cream (13oz)	4	tbsp	0.08																					
Frappe (16oz)		Packaging	Karat C-KC16 16oz PET Plastic Cold Cups	1	unit	0.1																					
Frappe (16oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.06																					
Frappe (16oz)		Packaging	DuraHome 8in Plastic Wrapped Straws Black	1	unit	0.02																					
Frappe (16oz)		Packaging	Next Day Flyers 2" Round Stickers	1	unit	0.05																					
																											
Hot Latte (12oz)	1 Drink	Ingredient	Espresso Beans (Double Shot ~18g)	0.63	oz	0.39	0.93	5	0.186																		
Hot Latte (12oz)		Ingredient	HCF Whole Milk	9	oz	0.28																					
Hot Latte (12oz)		Packaging	Karat C-K512WU 12oz White Paper Hot Cups	1	unit	0.07																					
Hot Latte (12oz)		Packaging	Karat 12-20oz Black Hot Cup Lids	1	unit	0.04																					
Hot Latte (12oz)		Packaging	FMP Brands - Kraft Coffee Cup Sleeves	1	unit	0.05																					
																											
Hot Latte (16oz)	1 Drink	Ingredient	Espresso Beans (Double Shot ~18g)	0.63	oz	0.39	1.11	5.75	0.193																		
Hot Latte (16oz)		Ingredient	HCF Whole Milk	13	oz	0.41																					
Hot Latte (16oz)		Packaging	Karat C-K516WU 16oz White Paper Hot Cups	1	unit	0.07																					
Hot Latte (16oz)		Packaging	Karat 12-20oz Black Hot Cup Lids	1	unit	0.04																					
Hot Latte (16oz)		Packaging	FMP Brands - Kraft Coffee Cup Sleeves	1	unit	0.05																					
																											
Hot Latte (20oz)	1 Drink	Ingredient	Espresso Beans (Double Shot ~18g)	1.26	oz	0.78	1.52	6.5	0.234																		
Hot Latte (20oz)		Ingredient	HCF Whole Milk	16	oz	0.5																					
Hot Latte (20oz)		Packaging	Karat C-K520WU 20oz White Paper Hot Cups	1	unit	0.08																					
Hot Latte (20oz)		Packaging	Karat 12-20oz Black Hot Cup Lids	1	unit	0.04																					
Hot Latte (20oz)		Packaging	FMP Brands - Kraft Coffee Cup Sleeves	1	unit	0.05																					
																											
Iced Latte (16oz)	1 Drink	Ingredient	Espresso Beans (Double Shot ~18g)	0.63	oz	0.39	0.98	5.5	0.178																		
Iced Latte (16oz)		Ingredient	HCF Whole Milk	10	oz	0.31																					
Iced Latte (16oz)		Packaging	Karat C-KC16 16oz PET Plastic Cold Cups	1	unit	0.1																					
Iced Latte (16oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.06																					
Iced Latte (16oz)		Packaging	DuraHome 8in Plastic Wrapped Straws Black	1	unit	0.02																					
Iced Latte (16oz)		Packaging	Next Day Flyers 2" Round Stickers	1	unit	0.05																					
																											
Iced Latte (20oz)	1 Drink	Ingredient	Espresso Beans (Double Shot ~18g)	0.63	oz	0.39	1.16	6	0.193																		
Iced Latte (20oz)		Ingredient	HCF Whole Milk	14	oz	0.44																					
Iced Latte (20oz)		Packaging	Karat C-KC20 20oz PET Plastic Cold Cups	1	unit	0.1																					
Iced Latte (20oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.06																					
Iced Latte (20oz)		Packaging	DuraHome 8in Plastic Wrapped Straws Black	1	unit	0.02																					
Iced Latte (20oz)		Packaging	Next Day Flyers 2" Round Stickers	1	unit	0.05																					
																											
Iced Latte (24oz)	1 Drink	Ingredient	Espresso Beans (Double Shot ~18g)	1.26	oz	0.78	1.56	7.5	0.208																		
Iced Latte (24oz)		Ingredient	HCF Whole Milk	16	oz	0.5																					
Iced Latte (24oz)		Packaging	Karat C-KC24 24oz PET Plastic Cold Cups	1	unit	0.1																					
Iced Latte (24oz)		Packaging	Karat Earth 16-24oz PET Dome Lids	1	unit	0.06																					
Iced Latte (24oz)		Packaging	DuraHome 8in Plastic Wrapped Straws Black	1	unit	0.02																					
Iced Latte (24oz)		Packaging	Next Day Flyers 2" Round Stickers	1	unit	0.05																					
																											
Cortado (8oz Hot)	1 Drink	Ingredient	Espresso Beans (Double Shot ~18g)	0.63	oz	0.39	0.61	4.25	0.144																		
Cortado (8oz Hot)		Ingredient	HCF Whole Milk	4	oz	0.12																					
Cortado (8oz Hot)		Packaging	AOZITA 8oz White Paper Hot Cups	1	unit	0.07																					
Cortado (8oz Hot)		Packaging	Karat PP 8oz Black Hot Cup Lids	1	unit	0.03																					
																											
Hot Americano (12oz)	1 Drink	Ingredient	Espresso Beans (Double Shot ~18g)	0.63	oz	0.39	0.55	3.5	0.157																		
Hot Americano (12oz)		Packaging	Karat C-K512WU 12oz White Paper Hot Cups	1	unit	0.07																					
Hot Americano (12oz)		Packaging	Karat 12-20oz Black Hot Cup Lids	1	unit	0.04																					
